term,suspicionScore,issues,mediaType,mediaUrl,sourceUrl
"SEEM",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/4OqSADr7ZtY?rel=0","https://www.lifeprint.com/asl101/pages-signs/s/seem.htm"
"SMART",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.lifeprint.com/asl101/videos/clear.mp4","https://www.lifeprint.com/asl101/pages-signs/s/smart.htm"
"STUPID",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/4lVC2h-vul0?rel=0","https://www.lifeprint.com/asl101/pages-signs/s/stupid.htm"
"SUSPECT",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/NdTKb3Kig88?rel=0","https://www.lifeprint.com/asl101/pages-signs/s/suspect.htm"
"TAKE-CARE-OF",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/e8ou8_mZFBA?rel=0","https://www.lifeprint.com/asl101/pages-signs/t/take-care-of.htm"
"THROUGH",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/7xQE2N0z7gM?rel=0","https://www.lifeprint.com/asl101/pages-signs/t/through.htm"
"UGLY",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/ki6TeQOTo1U?rel=0","https://www.lifeprint.com/asl101/pages-signs/u/ugly.htm"
"WALL",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/ePBQ3tH4rBU?rel=0","https://www.lifeprint.com/asl101/pages-signs/w/wall.htm"
"WATER-FOUNTAIN",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/ki6TeQOTo1U?rel=0","https://www.lifeprint.com/asl101/pages-signs/w/water-fountain.htm"
"WAVE-NO",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/QJXKaOSyl4o","https://www.lifeprint.com/asl101/pages-signs/n/nowaveno.htm"
"WEST",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/jluBmwvfPyE?rel=0","https://www.lifeprint.com/asl101/pages-signs/w/west.htm"
"WHAT-DO",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.lifeprint.com/asl101/videos/what-do.mp4","https://www.lifeprint.com/asl101/pages-signs/w/what-do.htm"
"WITHOUT",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/3wb-CmbZFbk?=0","https://www.lifeprint.com/asl101/pages-signs/w/without.htm"
"CAKE, YOU LIKE WHAT-KIND?",17,"sentence_like_video_filename,looks_like_sentence_entry","video","https://www.lifeprint.com/asl101/videos/cake-you-like-what-kind.mp4","https://www.lifeprint.com/asl101/pages-signs/27/cake-you-like-what-kind.htm"
"DIAPER",17,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/QJXKaOSyl4o","https://www.lifeprint.com/asl101/pages-signs/d/diaper.htm"
"Is your house big?",17,"looks_like_sentence_entry,selected_video_has_sentence_context","video","https://www.youtube.com/embed/OrJZaf91g10?rel=0&autoplay=1","https://www.lifeprint.com/asl101/pages-signs/03/your-house-big.htm"
"TOMORROW, YOU #BUSY?",17,"sentence_like_video_filename,looks_like_sentence_entry","video","https://www.lifeprint.com/asl101/videos/tomorrow-are-you-busy.mp4","https://www.lifeprint.com/asl101/pages-signs/22/tomorrow-are-you-busy.htm"
"YOUR MOM EYES BROWN?",17,"looks_like_sentence_entry,selected_video_has_sentence_context","video","https://www.youtube.com/embed/ZBX7dq3FkUc?rel=0&autoplay=1","https://www.lifeprint.com/asl101/pages-signs/20/your-mom-eyes-brown.htm"
"AFTERNOON",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/afternoon-work-you.mp4","https://www.lifeprint.com/asl101/pages-signs/a/afternoon.htm"
"all-MORNING",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/every-morning-hurry-shower-dress-eat-take-off-school-you.mp4","https://www.lifeprint.com/asl101/pages-signs/m/morning.htm"
"ANGRY",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.youtube.com/embed/IqfyrDn89iY?rel=0","https://www.lifeprint.com/asl101/pages-signs/a/angry.htm"
"CLOSE-CAPTIONED",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/your-tv-close-captioned.mp4","https://www.lifeprint.com/asl101/pages-signs/c/close-captioned.htm"
"every-AFTERNOON",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/afternoon-work-you.mp4","https://www.lifeprint.com/asl101/pages-signs/a/afternoon.htm"
"every-MORNING",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/every-morning-hurry-shower-dress-eat-take-off-school-you.mp4","https://www.lifeprint.com/asl101/pages-signs/m/morning.htm"
"GALLAUDET",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/gallaudet-you.mp4","https://www.lifeprint.com/asl101/pages-signs/g/gallaudet.htm"
"MAYONNAISE",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.youtube.com/embed/X_v7beFb024?rel=0","https://www.lifeprint.com/asl101/pages-signs/m/mayonnaise.htm"
"MIDNIGHT",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.youtube.com/embed/TEIqHAJxYJM?rel=0","https://www.lifeprint.com/asl101/pages-signs/m/midnight.htm"
"MORNING",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/every-morning-hurry-shower-dress-eat-take-off-school-you.mp4","https://www.lifeprint.com/asl101/pages-signs/m/morning.htm"
"SECRET",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.youtube.com/embed/ydrVUmXyapk?rel=0","https://www.lifeprint.com/asl101/pages-signs/s/secret.htm"
"SOON",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.youtube.com/embed/IOENZOzIuL4?rel=0","https://www.lifeprint.com/asl101/pages-signs/s/soon.htm"
"THEY",16,"fallback_media,video_despite_gif_candidate,multiple_video_candidates","video","https://www.youtube.com/embed/13kQeMdVEqg?rel=0","https://www.lifeprint.com/asl101/pages-signs/t/they.htm"
"WHITE",16,"video_despite_gif_candidate,multiple_video_candidates,selected_video_has_sentence_context","video","https://www.youtube.com/embed/W2_tx-TvcX0?rel=0","https://www.lifeprint.com/asl101/pages-signs/w/white.htm"
"ARMY",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/your-dad-military-before.mp4","https://www.lifeprint.com/asl101/pages-signs/a/army.htm"
"BROKE-(financially)",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/college-students-always-broke-why_player.mp4","https://www.lifeprint.com/asl101/pages-signs/b/broke.htm"
"CONTROL",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/your-house-who-manage.mp4","https://www.lifeprint.com/asl101/pages-signs/c/control.htm"
"EVERYDAY",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/08.17.mp4","https://www.lifeprint.com/asl101/pages-signs/e/everyday.htm"
"HABIT",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/habit-any-you.mp4","https://www.lifeprint.com/asl101/pages-signs/h/habit.htm"
"HARD-OF-HEARING",12,"video_despite_gif_candidate,sentence_like_video_filename","video","https://www.lifeprint.com/asl101/videos/you-think-hard-of-hearing-should-marry-deaf-or-hearing_player.mp4","https://www.lifeprint.com/asl101/pages-signs/h/hard-of-hearing.htm"
